lat,long,number
36.6366852,127.2777427,0
36.63668376,127.2777421,0
36.63668225,127.2777417,0
36.63668072,127.2777417,0
36.6366792,127.277742,0
36.63667775,127.2777426,0
36.63667348,127.277745,0
36.63663032,127.277685,0
36.63660744,127.2776574,0
36.63666822,127.277538,0
36.63651944,127.2774151,0
36.63647547,127.277498,0
36.63643004,127.2774666,0
36.63638823,127.2774369,0
36.6363301,127.2773943,0
36.63626239,127.2773338,0
36.6362624,127.2773338,0
36.6362583,127.2773342,0
36.63615681,127.2773441,0
36.63597031,127.2773637,0
36.63593534,127.2773673,0
36.63570406,127.2773376,0
36.63463071,127.2773092,0
36.6342834,127.27715,0
36.63421951,127.2771846,0
36.63372107,127.2774555,0
36.63361477,127.2778998,0
36.63345002,127.2780569,0
36.6332693,127.2777997,0
36.63301096,127.2773205,0
36.63275548,127.2772398,0
36.63262791,127.2772207,0
36.63216612,127.2771516,0
36.63203692,127.2772943,0
36.63191856,127.2771939,0
36.63168883,127.276999,0
36.63158153,127.276908,0
36.63144664,127.2767485,0
36.63115998,127.2763523,0
36.63109947,127.2762946,0
36.63082125,127.2760294,0
36.6307237,127.2754604,0
36.63059814,127.2754342,0
36.63050644,127.275257,0
36.63037322,127.2752319,0
36.62974737,127.274992,0
36.6293113,127.2746697,0
36.62911625,127.2742409,0
36.62902172,127.2740331,0
36.62884122,127.2736363,0
36.62789254,127.273289,0
36.62756209,127.273067,0
36.62728036,127.2718671,0
36.62645809,127.2714784,0
36.62636903,127.2713328,0
36.62607564,127.2713122,0
36.62558234,127.2715024,0
36.62538344,127.2706704,0
36.6250105,127.2698102,0
36.62476723,127.2695442,0
36.62443203,127.2688836,0
36.62448749,127.268269,0
36.62421402,127.2677292,0
36.62412979,127.2675509,0
36.62397365,127.2672174,0
36.62382953,127.2669793,0
36.62382756,127.266976,0
36.6237701,127.2668807,0
36.62367214,127.2667185,0
36.6236394,127.2666922,0
36.6236263,127.2666667,0
36.62321281,127.2658661,0
36.62320658,127.2654279,0
36.6239568,127.2638187,0
36.6236291,127.2624369,0
36.6237713,127.2622371,0
36.62416459,127.261948,0
36.62487099,127.2613947,0
36.62474515,127.2612037,0
36.62463476,127.261036,0
36.62426599,127.2609101,0
36.62329577,127.2605785,0
36.62265116,127.2601982,0
36.62193208,127.26008,0
36.62108671,127.2602214,0
36.62081437,127.2599335,0
36.62085139,127.2593196,0
36.62139558,127.2584714,0
36.62119572,127.257875,0
36.62131607,127.2574382,0
36.62130568,127.2569486,0
36.62033933,127.2569875,0
36.62001949,127.2571588,0
36.61983899,127.2573216,0
36.61956633,127.2573,0
36.61940684,127.2571234,0
36.61917124,127.2571739,0
36.61904651,127.2571804,0
36.61878273,127.2570095,0
36.61854731,127.2569806,0
36.6182942,127.2571728,0
36.61812994,127.2572002,0
36.61783846,127.2574238,0
36.61728747,127.257252,0
36.61711316,127.2573465,0
36.61693249,127.2576721,0
36.61688387,127.2578987,0
36.6168409,127.2580991,0
36.61680702,127.2585565,0
36.61645606,127.2589428,0
36.61612714,127.2588942,0
36.61575629,127.2591443,0
36.6157271,127.2593859,0
36.6155889,127.2594943,0
36.6155971,127.2596982,0
36.61551986,127.2602789,0
36.61557397,127.2604317,0
36.61549583,127.2604723,0
36.61521066,127.260778,0
36.61513388,127.2611447,0
36.61494962,127.2613736,0
36.61462634,127.2615054,0
36.61442188,127.2617431,0
36.61440084,127.2620931,0
36.6144166,127.2626294,0
36.6146596,127.2630194,0
36.61458434,127.2631886,0
36.61394519,127.2635642,0
36.61364036,127.2639503,0
36.61351699,127.2637814,0
36.61294134,127.2638494,0
36.61267644,127.2640282,0
36.61247401,127.2641202,0
36.61241054,127.2640919,0
36.61206122,127.263936,0
36.61164138,127.2643662,0
36.61133507,127.2640802,0
36.61072747,127.264491,0
36.61074512,127.264819,0
36.61022378,127.2649762,0
36.61008558,127.2653241,0
36.60951524,127.265676,0
36.60920618,127.2662184,0
36.60887267,127.2667272,0
36.60761676,127.2662868,0
36.60690049,127.2670477,0
36.60685721,127.2670938,0
36.60663113,127.2674427,0
36.60662004,127.2674602,0
36.6063996,127.2678096,0
36.60615741,127.2678686,0
36.60553404,127.2680203,0
36.60541784,127.2680486,0
36.60519804,127.2680471,0
36.60465246,127.2679977,0
36.60413041,127.2679504,0
36.6039468,127.2678467,0
36.60353095,127.2681421,0
36.60355321,127.268184,0
36.6035368,127.268189,0
36.60349845,127.2682851,0
36.60333892,127.2682971,0
36.60312537,127.2680816,0
36.60296676,127.2679179,0
36.60280942,127.2677553,0
36.60252929,127.2677282,0
36.6013828,127.2677198,0
36.60106249,127.2680916,0
36.60037099,127.2687771,0
36.59999355,127.269299,0
36.59990584,127.2694285,0
36.59990036,127.2694604,0
36.59969951,127.2697275,0
36.59998499,127.2699771,0
36.60021838,127.2700648,0
36.60032205,127.2703275,0
36.6003743,127.2704179,0
36.60031872,127.2707249,0
36.60031078,127.2707687,0
36.60025841,127.2708166,0
36.6002192,127.2708545,0
36.60014624,127.2709221,0
36.60013008,127.2710533,0
36.60016274,127.2710766,0
36.60022777,127.2711687,0
36.60019235,127.2713296,0
36.60016052,127.2714551,0
36.60002757,127.2716258,0
36.60002183,127.2716532,0
36.59997381,127.2718807,0
36.59992034,127.2721358,0
36.59987844,127.2722073,0
36.59975196,127.272422,0
36.59974269,127.272457,0
36.59967749,127.2727523,0
36.59967685,127.2727551,0
36.59961065,127.2730571,0
36.59961455,127.2731221,0
36.59961464,127.2731244,0
36.59961363,127.2733303,0
36.59965986,127.2736409,0
36.5996635,127.2736649,0
36.59966936,127.273703,0
36.59969067,127.2738427,0
36.59969377,127.2739043,0
36.59969679,127.2739641,0
36.59970369,127.2740611,0
36.59971364,127.2741639,0
36.59972092,127.2742531,0
36.5997216,127.2742613,0
36.59974275,127.2742562,0
36.59975253,127.2742945,0
36.59977495,127.2743811,0
36.59979267,127.2744501,0
36.59981671,127.2745432,0
36.59981779,127.2745495,0
36.599871,127.2748597,0
36.59989883,127.2749482,0
36.59990392,127.2749644,0
36.599905,127.2749679,0
36.59998176,127.2752124,0
36.6000652,127.2754132,0
36.60010873,127.2755277,0
36.60010989,127.2755307,0
36.60022509,127.275836,0
36.60032796,127.2760137,0
36.60032922,127.2760159,0
36.6003881,127.276117,0
36.60045214,127.2762856,0
36.60047195,127.276335,0
36.60051966,127.2764326,0
36.60053025,127.2766081,0
36.6005381,127.2767235,0
36.60059814,127.2770225,0
36.60058709,127.2771214,0
36.60058156,127.2771403,0
36.60052287,127.277339,0
36.60052078,127.2773458,0
36.60041319,127.2776513,0
36.60037661,127.2777253,0
36.60036855,127.2777415,0
36.60023021,127.2779764,0
36.60019574,127.2780349,0
36.60019204,127.2780746,0
36.60015553,127.2784645,0
36.60009897,127.2790683,0
36.60018946,127.2793304,0
36.60012068,127.279574,0
36.60004397,127.2796562,0
36.599999,127.2796939,0
36.59985786,127.2798123,0
36.59958853,127.2799534,0
36.59945756,127.2799618,0
36.59924684,127.2799275,0
36.59914257,127.2799293,0
36.59904686,127.2799312,0
36.59894601,127.2799332,0
36.59888058,127.2799356,0
36.59871345,127.2799535,0
36.59862081,127.2799887,0
36.5984412,127.2801072,0
36.59832541,127.2802162,0
36.59826098,127.2802922,0
36.59826095,127.2802922,0
36.59810373,127.2804769,0
36.59797087,127.2806387,0
